bit error rate,received error rate
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0373832
0.17,0.00311526
0.18,0.0904605
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0404984
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0311526
0.18,0.218845
0.19,0.0953947
0.20,0.126645
0.21,0.100329
0.22,0.138158
0.23,0.154605
0.24,0.15625
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0509868
0.18,0.128289
0.19,0.154605
